Ticker,Drug Name,Indication,Approved or CRL,Catalyst Date,Catalyst Description
SPPI,ZEVALIN,Non-Hodgkin’s lymphoma,   CRL,07/05/2009,"CRL received July 5, 2009."
ZGNX,Sumavel,Migraine,   Approved,07/16/2009,"Approved July 16, 2009."
SPPI,ZEVALIN,Non-Hodgkin’s lymphoma,   Approved,09/04/2009,"Approved September 4, 2009."
SPPI,FUSILEV,Colorectal cancer,   CRL,10/09/2009,"CRL received October 9, 2009."
PRTK,Intermezzo,Insomnia,   CRL,11/02/2009,"CRL issued November 2, 2009."
AIM,Ampligen,CFS,   CRL,12/01/2009,"CRL issued December 1, 2009."
FCSC,Laviv,Wrinkles,   CRL,12/18/2009,"CRL issued December 18, 2009."
ACOR,Ampyra,Improve walking in patients with multiple sclerosis,   Approved,01/22/2010,"Approved January 22, 2010."
ALKS,BYDUREON,Type 2 diabetes,   Approved,01/27/2010,"Approved January 27, 2010."
ALKS,BYDUREON,Type 2 diabetes,   CRL,03/15/2010,"CRL received March 15, 2010."
MNKD,AFREZZA ,Type 1/2 diabetes,   CRL,03/15/2010,"CRL issued March 15, 2010."
HRTX,APF530 - Sustol,Prevention of acute- and delayed-onset chemotherapy-induced nausea and vomiting (CINV),   CRL,03/19/2010,"CRL issued March 19, 2010."
CTIC,PIXUVRI - PIX306 Trial,B-cell non-Hodgkin lymphoma,   CRL,04/09/2010,"CRL received April 9, 2010."
JAZZ,JZP-6,Fibromyalgia,   CRL,10/11/2010,"CRL received October 11, 2010."
VVUS,Qnexa,Obesity,   CRL,10/28/2010,"October 28, 2010."
MNKD,AFREZZA ,Type 1/2 diabetes,   CRL,01/19/2011,"CRL received January 19, 2011."
ASRT,GRALISE,Postherpetic neuralgia - shingles,   Approved,01/28/2011,"Approved January 28, 2011."
PLX,Taliglucerase alfa,Gaucher disease,   CRL,02/25/2011,"CRL issued February 25, 2011."
SPPI,FUSILEV,Colorectal cancer,   Approved,04/29/2011,"Approved April 29, 2011."
FCSC,Laviv,Wrinkles,   Approved,06/22/2011,"Approved June 22, 2011."
SGEN,ADCETRIS,Hodgkin lymphoma and Anaplastic large cell lymphoma,   Approved,08/19/2011,"Approval announced August 19, 2011."
PCRX,EXPAREL,Postsurgical pain,   Approved,10/31/2011,"Approved October 31, 2011."
EYPT,Iluvien,Diabetic macular edema,   CRL,11/11/2011,"CRL November 11, 2011."
ALIM,Iluvien,Diabetic macular edema,   CRL,11/11/2011,CRL November 2011.
INCY,Jakafi,Myelofibrosis,   Approved,11/16/2011,"Approved November 16, 2011."
PRTK,Intermezzo,Insomnia,   Approved,11/23/2011,"Approved November 23, 2011."
ATRS,Anturol,Overactive bladder,   Approved,12/08/2011,"Approved December 8, 2011."
CRIS,Vismodegib,Basal Cell Carcinoma,   Approved,01/30/2012,"Approved January 30, 2012."
CORT,Corlux - Korlym,Cushing&#039;s Syndrome,   Approved,02/17/2012,"Approved February 17, 2012."
VVUS,Avanafil,Erectile dysfunction,   Approved,04/27/2012,"Approved April 27, 2012."
PLX,Taliglucerase alfa,Gaucher disease,   Approved,05/01/2012,"Approved May 1, 2012."
EBS,BioThrax,Anthrax Vaccine,   Approved,05/17/2012,"Approved May 17, 2012."
RGEN,RG1068,Detection of pancreatic duct abnormalities,   CRL,06/22/2012,"CRL received June 22, 2012."
ARNA,Lorcaserin,Obesity,   Approved,06/27/2012,"Approved June 27, 2012."
VVUS,Qnexa,Obesity,   Approved,07/17/2012,"Approved July 17, 2012."
AMRN,Vascepa,High Triglycerides With Mixed Dyslipidemia,   Approved,07/26/2012,"Approved July 26, 2012."
HALO,HYQVIA,Subcutaneous treatment for patients with primary immunodeficiency (PI),   CRL,08/01/2012,"CRL issued August 1, 2012."
NAVB,Lymphoseek,Lymphatic-tissue tracing agent,   CRL,09/10/2012,"CRL issued September 10, 2012."
SUPN,Oxtellar,Epilepsy,   Approved,10/22/2012,"Approved October 22, 2012."
EXEL,Cabozantinib,Medullary thyroid cancer,   Approved,11/29/2012,"Approved November 29, 2012."
AIM,Ampligen,CFS,   CRL,02/04/2013,"CRL February 4, 2013."
IMGN,Kadcyla,2nd-line HER2+ Metastatic Breast Cancer,   Approved,02/22/2013,"Approved February 22, 2013 - under priority review."
DVAX,HEPLISAV-B ,Hepatitis B,   CRL,02/25/2013,"CRL issued February 25, 2013."
NAVB,Lymphoseek,Lymphatic-tissue tracing agent,   Approved,03/13/2013,"Approved March 13, 2013."
HRTX,APF530 - Sustol,Prevention of acute- and delayed-onset chemotherapy-induced nausea and vomiting (CINV),   CRL,03/28/2013,"CRL March, 28 2013."
TTNP,Probuphine,Opioid dependence,   CRL,04/30/2013,"CRL issued April 30, 2013."
ENDP,AVEED (testosterone undecanoate) intramuscular injection,Men diagnosed with hypogonadism,   CRL,05/30/2013,"CRL issued September 5, 2013. "
ASRT,SEFELSA,Hot flashes,   CRL,05/31/2013,"CRL issued May 31, 2013."
AVDL,Bloxiverz (neostigmine methylsulfate),Reversal of the effects of non-depolarizing neuromuscular blocking agents after surgery,   Approved,06/03/2013,"Approved June 3, 2013."
AVEO,TIVO-3 - tivozanib,Third line treatment of patients with renal cell cancer,   CRL,06/10/2013,"CRL issued June 10, 2013."
TBPH,VIBATIV  (telavancin hydrochloride) for injection,Hospital-acquired and ventilator-associated bacterial pneumonia (HABP/VABP),   Approved,06/21/2013,"Approved June 21, 2013."
SUPN,Trokendi ,Epilepsy,   Approved,08/19/2013,"Approved Aug 19, 2013."
ATRS,OTREXUP,Rheumatoid arthritis (RA),   Approved,10/14/2013,"Approved Oct 14, 2013."
ALIM,Iluvien,Diabetic macular edema,   CRL,10/17/2013," Second CRL October 17, 2013. "
EYPT,Iluvien,Diabetic macular edema,   CRL,10/18/2013,"Second CRL October 18, 2013."
ZGNX,Zohydro ER,Moderate to severe pain,   Approved,10/25/2013,"Approved October 25, 2013."
ABBV,Ibrutinib,Relapsed or refractory MCL mantle cell lymphoma,   Approved,11/13/2013,"Approved November 13, 2013."
AMAG,Feraheme,Adults with iron deficiency anemia (IDA),   CRL,01/22/2014,"CRL issued January 22, 2014."
VNDA,HETLIOZ (tasimelteon),Insomnia,   Approved,01/31/2014,"Approved January 31, 2014."
DRRX,Posidur,Post-operative pain relief ,   CRL,02/12/2014,"CRL issued February 12, 2014."
ABBV,Imbruvica,Cancer - Chronic Lymphocytic Leukemia Who Have Received at Least One Prior Therapy,   Approved,02/12/2014,"Approved February 12, 2014."
BMRN,Vimizim (GALNS),(MPS IVA) Morquio A Syndrome,   Approved,02/14/2014,"Approved February 14, 2014."
ENDP,AVEED (testosterone undecanoate) intramuscular injection,Men diagnosed with hypogonadism,   Approved,03/06/2014,"Approved March 6, 2014."
NVS,Cangrelor,Reduction of thrombotic cardiovascular events including stent thrombosis in patients with coronary artery disease undergoing percutaneous coronary intervention (PCI),   CRL,04/30/2014,CRL April 30 2014.
OMER,Omidria,Cataract surgery,   Approved,06/02/2014,"Approved June 2, 2014."
BDSI,BEMA Buprenorphine/Naloxone (BNX) - BUNAVAIL,Opioid dependence,   Approved,06/06/2014,"Approved June 6, 2014."
NAVB,Lymphoseek,Head and Neck Cancer,   Approved,06/13/2014,"Approved June 13, 2014."
MNKD,AFREZZA ,Type 1/2 diabetes,   Approved,06/27/2014,"Approved June 27, 2014."
AVDL,VAZCULEP (phenylephrine hydrochloride),Clinically important hypotension resulting primarily from vasodilation in the setting of anesthesia,   Approved,06/30/2014,"Approved June 30, 2014."
EGRX,EP-3101 (bendamustine RTD) ,Chronic lymphocytic leukemia; Indolent non-Hodgkin&#039;s lymphoma - cancer,   Approved,07/02/2014,"Tentative approval July 2 2014. Teva has also received orphan drug and related pediatric exclusivity expiring in September 2015 and May 2016 for the CLL and NHL indications, respectively. "
SPPI,Belinostat,Peripheral T-Cell Lymphoma cancer,   Approved,07/07/2014,"Approved July 7, 2014."
ABBV,Imbruvica,Deletion 17p,   Approved,07/19/2014,"Approved July 19, 2014."
EGRX,Ryanodex,Malignant hyperthermia - cancer,   Approved,07/23/2014,"Approved July 23, 2014 under priority review."
ACRX,Zalviso,Post-operative pain following open abdominal surgery and hip or knee replacement surgery,   CRL,07/25/2014,CRL issued July 25 2014. 
NVS,Oritavancin,ABSSSI,   Approved,08/06/2014,"Approved August 6, 2014 under priority review"
AKBA,Auryxia,Hyperphosphatemia,   Approved,09/05/2014,"Approved Sept 5, 2014."
HALO,HYQVIA,Subcutaneous treatment for patients with primary immunodeficiency (PI),   Approved,09/12/2014,"Approved September 12, 2014."
NKTR,MOVANTIK (Naloxegol),Opioid-induced constipation (OIC),   Approved,09/16/2014,"Approved September 16, 2014."
